"ProjectDirectory","Category","Main","ReleaseExperimental","Release2Experimental","Release2Stable","SourceBranch","SourceCommit","SourcePR","SourcePath","Disposition","Validation"
"Samples/AppContentSearch/cs-winui","Baseline only","missing","baseline","missing","missing","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cpp/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cpp/cpp-console-unpackaged/CppWinRtConsoleActivation","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cpp/cpp-win32-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cpp/cpp-win32-packaged/CppWinMainActivation","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/AppLifecycle/Activation/cpp/cpp-win32-packaged/CppWinMainActivation","Port main #657 C++20 fix","Blocked: v143 toolset unavailable"
"Samples/AppLifecycle/Activation/cpp/cpp-win32-packaged/CppWinMainActivationPkg","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cpp/cpp-win32-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cpp/cpp-win32-unpackaged/CppWinMainActivation","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/AppLifecycle/Activation/cpp/cpp-win32-unpackaged/CppWinMainActivation","Port main #657 C++20 fix","Blocked: v143 toolset unavailable"
"Samples/AppLifecycle/Activation/cpp/cpp-winui-packaged","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/AppLifecycle/Activation/cpp/cpp-winui-packaged","Retain baseline: single-project MSIX supersedes main WAP split","Reviewed: no functional migration required"
"Samples/AppLifecycle/Activation/cpp/cpp-winui-packaged/CppWinUiDesktopActivation/CppWinUiDesktopActivation","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/AppLifecycle/Activation/cpp/cpp-winui-packaged/CppWinUiDesktopActivation/CppWinUiDesktopActivation","Retain baseline: single-project MSIX and central package management","Reviewed: source and manifest behavior retained"
"Samples/AppLifecycle/Activation/cpp/cpp-winui-packaged/CppWinUiDesktopActivation/CppWinUiDesktopActivation (Package)","Main only","branch-only","missing","missing","missing","release/experimental","0d035e00","#579","Samples/AppLifecycle/Activation/cpp/cpp-winui-packaged/CppWinUiDesktopActivation/CppWinUiDesktopActivation (Package)","Omit: superseded by single-project MSIX in release/experimental #579","Reviewed: no functional migration required"
"Samples/AppLifecycle/Activation/cs/cs-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs/cs-console-unpackaged/CsConsoleActivation","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
